epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,18026.4,0.39062,0.04052,0.01662,0.25655,0.96607,0.99676,0.99337,0.99438,0.94055,0.99702,0.99373,0.9945,0.9941,0.39039,0.02522,0.00043,0.16958,0.96636,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,18304.9,0.38988,0.03825,0.01662,0.25778,0.96738,0.99731,0.99346,0.99438,0.94163,0.99754,0.99386,0.99448,0.99406,0.37923,0.0254,0.00035,0.16716,0.96145,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,18554.2,0.38707,0.03919,0.01654,0.25375,0.96647,0.99736,0.99353,0.99436,0.94169,0.99763,0.99387,0.99444,0.99398,0.38402,0.02599,0.0004,0.17032,0.96235,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,18802.8,0.38861,0.03956,0.01708,0.25649,0.9661,0.99632,0.99441,0.99426,0.94258,0.99675,0.99468,0.99441,0.99401,0.38271,0.02583,0.00045,0.1703,0.96137,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,19051.3,0.38851,0.03832,0.01623,0.2552,0.96573,0.99754,0.99444,0.99445,0.94211,0.99781,0.9947,0.99452,0.99417,0.37642,0.02493,0.00042,0.16643,0.95912,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,19299.8,0.38714,0.0378,0.01611,0.254,0.96497,0.9972,0.99433,0.99444,0.9426,0.99746,0.99459,0.99452,0.99413,0.36848,0.02496,0.00041,0.16277,0.9562,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,19548,0.38366,0.0364,0.01504,0.25161,0.96316,0.99693,0.99411,0.99452,0.94365,0.99728,0.99445,0.99457,0.99422,0.37039,0.02487,0.00044,0.16284,0.95666,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,19796.7,0.38498,0.03793,0.01577,0.25386,0.96293,0.99711,0.99329,0.99447,0.94305,0.99745,0.99372,0.99452,0.99415,0.37222,0.02447,0.00041,0.16278,0.95745,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,20044.2,0.38092,0.03683,0.01605,0.24904,0.96439,0.99728,0.99398,0.99442,0.94367,0.99754,0.99424,0.9945,0.99416,0.3726,0.02436,0.00038,0.16281,0.95699,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,20292,0.382,0.03768,0.01616,0.25084,0.96156,0.99618,0.99477,0.99437,0.9434,0.99637,0.99494,0.99447,0.99408,0.36971,0.02439,0.00036,0.16155,0.95641,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
