epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,17812.5,0.27213,0.01755,0.00614,0.17217,0.88358,0.9956,0.99125,0.99405,0.94664,0.99578,0.99142,0.99416,0.9937,0.33827,0.02399,0.00029,0.15876,0.94545,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,17976.5,0.27173,0.01684,0.00623,0.17121,0.88299,0.99556,0.99154,0.99408,0.94708,0.99573,0.99172,0.99415,0.99372,0.33823,0.02391,0.0003,0.15697,0.94549,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,18141.9,0.27064,0.01687,0.00637,0.17152,0.88174,0.99474,0.99254,0.9942,0.94695,0.99492,0.99271,0.99426,0.99383,0.33778,0.02368,0.0003,0.15392,0.9456,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,18314.4,0.26578,0.01601,0.00598,0.16909,0.87931,0.99579,0.99145,0.99398,0.94679,0.99605,0.99172,0.99407,0.99364,0.3387,0.02364,0.00033,0.15444,0.94561,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,18477,0.2649,0.0157,0.00545,0.16942,0.8787,0.99552,0.99213,0.99418,0.94731,0.9957,0.9923,0.99427,0.99386,0.34083,0.02361,0.00031,0.15573,0.94633,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,18639.5,0.26444,0.01609,0.00621,0.16886,0.87968,0.99526,0.99208,0.9942,0.94675,0.99544,0.99244,0.99431,0.99386,0.33672,0.0235,0.00035,0.15347,0.9456,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,18813.9,0.26327,0.01555,0.00529,0.16758,0.87916,0.99552,0.99144,0.99421,0.94748,0.99578,0.9917,0.99428,0.9939,0.33468,0.02348,0.00033,0.15261,0.94541,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,18975.8,0.2629,0.01565,0.00541,0.16634,0.87885,0.99578,0.99159,0.99432,0.94796,0.99621,0.99109,0.99438,0.99397,0.33313,0.02338,0.00034,0.15254,0.94492,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,19138.4,0.26107,0.01535,0.00548,0.16476,0.87846,0.99577,0.99189,0.99412,0.94743,0.99611,0.99215,0.99431,0.99383,0.33268,0.0234,0.00034,0.15254,0.94471,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,19301.2,0.25736,0.01503,0.0057,0.16458,0.87784,0.99587,0.99161,0.99422,0.9477,0.99613,0.99187,0.99435,0.9939,0.3333,0.02354,0.00032,0.1555,0.94443,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,19465.3,0.25723,0.01457,0.0058,0.16385,0.87753,0.99561,0.9918,0.99426,0.94764,0.99587,0.99206,0.99433,0.99392,0.3325,0.02351,0.00032,0.15345,0.94421,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,19626.3,0.2566,0.0154,0.00556,0.16399,0.87812,0.9963,0.99147,0.99433,0.94803,0.99657,0.99173,0.99441,0.994,0.33254,0.0234,0.00031,0.15361,0.94426,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,19788,0.25384,0.0151,0.00499,0.1605,0.87622,0.99608,0.99233,0.99431,0.94765,0.9964,0.99258,0.99438,0.99395,0.33428,0.02338,0.00029,0.15445,0.94444,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,19948.8,0.25339,0.01478,0.00573,0.16078,0.8773,0.99609,0.99233,0.99429,0.9475,0.99635,0.99259,0.99436,0.99395,0.3353,0.02348,0.00032,0.1544,0.94483,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,20107.1,0.25176,0.014,0.00562,0.15958,0.87449,0.99518,0.99301,0.99429,0.94766,0.99545,0.99328,0.99438,0.99397,0.33532,0.0235,0.00031,0.1537,0.94499,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,20323.9,0.2664,0.01331,0.0026,0.14242,0.84685,0.99604,0.9921,0.99423,0.94797,0.99631,0.99236,0.99433,0.9939,0.33494,0.02357,0.00032,0.15346,0.94497,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,20483,0.26504,0.01318,0.00322,0.14177,0.8483,0.99554,0.99268,0.99424,0.94819,0.9958,0.99294,0.99437,0.99392,0.33414,0.02354,0.00031,0.15302,0.94485,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
